composition,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,V,Co,Nb+Ta,Fe,temperature,ys_value,uts_value,elo_value,roa_value
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,25,234.0,572.0,66.0,82.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,100,203.0,507.0,54.0,82.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,200,171.0,469.0,46.0,80.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,300,156.0,472.0,44.0,75.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,400,148.0,478.0,44.0,70.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,500,146.0,466.0,46.0,71.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,550,148.0,453.0,45.0,68.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,600,130.0,419.0,44.0,71.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,650,130.0,367.0,49.0,71.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,700,122.0,300.0,55.0,62.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,750,120.0,248.0,67.0,68.0
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,800,,,,
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,900,,,,
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967,1000,,,,
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,25,267.0,572.0,66.0,82.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,100,250.0,512.0,51.0,82.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,200,207.0,480.0,45.0,79.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,300,195.0,481.0,45.0,73.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,400,190.0,484.0,43.0,72.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,500,164.0,462.0,46.0,71.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,550,174.0,456.0,46.0,71.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,600,160.0,394.0,46.0,71.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,650,147.0,371.0,51.0,71.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,700,146.0,273.0,52.0,64.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,750,138.0,245.0,62.0,63.0
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,800,,,,
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,900,,,,
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421,1000,,,,
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,25,274.0,594.0,67.0,82.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,100,261.0,525.0,52.0,80.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,200,208.0,500.0,46.0,78.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,300,208.0,502.0,45.0,76.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,400,184.0,500.0,46.0,72.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,500,173.0,485.0,45.0,70.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,550,178.0,474.0,47.0,68.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,600,165.0,441.0,48.0,73.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,650,155.0,367.0,49.0,65.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,700,154.0,310.0,54.0,55.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,750,146.0,239.0,53.0,61.0
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,800,,,,
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,900,,,,
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916,1000,,,,
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,25,295.0,610.0,64.0,80.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,100,267.0,528.0,50.0,81.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,200,224.0,502.0,44.0,78.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,300,208.0,513.0,44.0,75.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,400,194.0,511.0,45.0,74.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,500,184.0,494.0,44.0,71.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,550,182.0,480.0,45.0,70.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,600,175.0,449.0,45.0,71.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,650,166.0,390.0,51.0,75.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,700,161.0,312.0,61.0,68.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,750,150.0,257.0,74.0,77.0
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,800,,,,
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,900,,,,
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631,1000,,,,
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,25,275.0,589.0,64.0,81.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,100,218.0,522.0,51.0,80.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,200,204.0,492.0,45.0,80.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,300,176.0,498.0,45.0,75.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,400,175.0,496.0,45.0,73.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,500,146.0,478.0,45.0,70.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,550,156.0,472.0,47.0,70.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,600,162.0,437.0,48.0,70.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,650,136.0,377.0,53.0,67.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,700,156.0,305.0,59.0,75.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,750,135.0,252.0,78.0,80.0
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,800,,,,
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,900,,,,
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519,1000,,,,
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,25,264.0,585.0,62.0,81.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,100,234.0,525.0,48.0,81.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,200,224.0,500.0,44.0,78.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,300,177.0,501.0,43.0,75.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,400,170.0,498.0,44.0,73.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,500,157.0,496.0,45.0,70.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,550,160.0,476.0,44.0,72.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,600,148.0,439.0,44.0,72.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,650,126.0,368.0,48.0,68.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,700,140.0,316.0,68.0,80.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,750,138.0,251.0,85.0,86.0
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,800,,,,
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,900,,,,
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754,1000,,,,
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,25,260.0,575.0,62.0,80.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,100,243.0,518.0,48.0,80.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,200,192.0,483.0,44.0,78.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,300,172.0,488.0,46.0,72.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,400,157.0,488.0,44.0,72.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,500,180.0,474.0,42.0,66.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,550,157.0,453.0,45.0,70.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,600,150.0,406.0,45.0,73.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,650,138.0,371.0,53.0,71.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,700,143.0,305.0,59.0,70.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,750,121.0,226.0,76.0,80.0
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,800,,,,
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,900,,,,
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549,1000,,,,
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,25,240.0,620.0,60.0,74.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,100,219.0,533.0,49.0,75.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,200,232.0,485.0,42.0,73.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,300,174.0,478.0,36.0,66.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,400,166.0,482.0,36.0,63.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,500,168.0,474.0,38.0,66.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,550,156.0,464.0,37.0,63.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,600,150.0,441.0,36.0,61.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,650,146.0,410.0,36.0,59.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,700,160.0,369.0,37.0,52.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,750,161.0,314.0,35.0,42.0
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,800,,,,
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,900,,,,
AEA,0.07,0.6,1.71,0.02,0.005,12.0,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264,1000,,,,
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,25,260.0,580.0,63.0,74.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,100,229.0,492.0,50.0,77.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,200,199.0,453.0,42.0,74.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,300,188.0,441.0,38.0,72.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,400,169.0,443.0,38.0,69.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,500,168.0,442.0,38.0,68.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,550,174.0,428.0,38.0,67.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,600,167.0,410.0,38.0,66.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,650,158.0,385.0,34.0,55.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,700,161.0,331.0,16.0,20.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,750,165.0,279.0,11.0,16.0
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,800,,,,
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,900,,,,
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872,1000,,,,
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,25,240.0,560.0,66.0,78.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,100,226.0,494.0,51.0,77.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,200,181.0,453.0,43.0,74.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,300,181.0,444.0,42.0,68.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,400,167.0,442.0,41.0,67.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,500,161.0,436.0,41.0,64.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,550,159.0,424.0,37.0,61.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,600,129.0,413.0,39.0,68.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,650,144.0,389.0,39.0,64.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,700,152.0,362.0,36.0,54.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,750,146.0,312.0,34.0,44.0
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,800,,,,
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,900,,,,
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628,1000,,,,
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,25,210.0,580.0,61.0,77.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,100,190.0,492.0,50.0,77.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,200,168.0,446.0,42.0,76.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,300,158.0,430.0,37.0,70.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,400,141.0,436.0,39.0,70.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,500,151.0,430.0,37.0,65.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,550,138.0,414.0,37.0,64.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,600,135.0,398.0,35.0,67.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,650,127.0,370.0,30.0,43.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,700,143.0,315.0,18.0,19.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,750,117.0,256.0,11.0,14.0
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,800,,,,
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,900,,,,
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046,1000,,,,
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067,25,205.0,580.0,62.0,76.0
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067,100,200.0,492.0,50.0,77.0
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067,200,162.0,445.0,43.0,75.0
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067,300,141.0,430.0,39.0,72.0
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067,400,143.0,434.0,38.0,66.0
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067,500,116.0,415.0,39.0,66.0
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067,550,128.0,412.0,38.0,68.0
